-1128.882812	326.311798
-1128.888611	326.316795
-1128.893982	326.318794
-1128.898407	326.315605
-1128.902588	326.311607
-1128.906799	326.310394
-1128.910217	326.310196
-1128.914032	326.306999
-1128.914581	326.302193
-1128.918610	326.304802
-1128.919250	326.299797
-1128.920197	326.302399
-1128.918762	326.300804
-1128.916382	326.301193
-1128.915039	326.302002
-1128.912811	326.299805
-1128.908997	326.302002
-1128.906219	326.302803
-1128.902252	326.297600
-1128.899597	326.299194
-1128.897766	326.296600
-1128.895203	326.294792
-1128.893829	326.294792
-1128.890625	326.296204
-1128.887604	326.295395
-1128.883820	326.293190
-1128.879395	326.292404
-1128.876007	326.292397
-1128.872406	326.294792
-1128.868378	326.293404
-1128.863220	326.292404
-1128.860748	326.290604
-1128.856964	326.288605
-1128.853180	326.282806
-1128.850189	326.280800
-1128.848358	326.278397
-1128.845215	326.275597
-1128.843384	326.271210
-1128.839630	326.270805
-1128.836182	326.266998
-1128.831818	326.267807
-1128.826385	326.265205
-1128.821625	326.261200
-1128.816193	326.256607
-1128.810394	326.255005
-1128.802032	326.250397
-1128.801208	326.245598
-1128.797974	326.237808
-1128.795410	326.235397
-1128.792603	326.228806
-1128.790771	326.228600
-1128.787628	326.222000
-1128.785431	326.222404
-1128.782196	326.215996
-1128.779205	326.215805
-1128.774811	326.211800
-1128.770203	326.209991
-1128.761169	326.207603
-1128.756592	326.202782
-1128.756378	326.197998
-1128.754211	326.194405
-1128.750397	326.191200
-1128.747009	326.187798
-1128.741211	326.183800
-1128.741760	326.182594
-1128.739197	326.180611
-1128.732605	326.177994
-1128.732422	326.175591
-1128.727997	326.173996
-1128.719025	326.170799
-1128.717407	326.166603
-1128.709595	326.164803
-1128.704407	326.164001
-1128.697418	326.161804
-1128.688599	326.157204
-1128.685791	326.155205
-1128.680206	326.154388
-1128.674561	326.155998
-1128.667969	326.156403
-1128.662354	326.160210
-1128.655609	326.159203
-1128.648193	326.162605
-1128.635254	326.166008
-1128.629395	326.169601
-1128.620422	326.169792
-1128.610382	326.172997
-1128.600800	326.174789
-1128.592377	326.177399
-1128.581451	326.183601
-1128.573364	326.183403
-1128.567200	326.186607
-1128.561584	326.190613
-1128.554993	326.196999
-1128.549133	326.204803
-1128.544983	326.215607
-1128.540009	326.223206
-1128.535400	326.232994
-1128.531830	326.241196
-1128.529816	326.249596
-1128.526611	326.262596
-1128.523224	326.273201
-1128.522400	326.280800
-1128.522186	326.287605
-1128.522186	326.294601
-1128.522400	326.303795
-1128.523010	326.306198
-1128.523621	326.322205
-1128.524414	326.324600
-1128.525208	326.336212
-1128.527588	326.347397
-1128.532379	326.359207
-1128.530609	326.371201
-1128.532990	326.391808
-1128.536621	326.395599
-1128.545380	326.404999
-1128.550781	326.414200
-1128.556427	326.423592
-1128.564209	326.435799
-1128.566650	326.442604
-1128.578583	326.448410
-1128.586578	326.458603
-1128.592590	326.468597
-1128.601410	326.478004
-1128.609009	326.489204
-1128.615631	326.500999
-1128.622192	326.513008
-1128.628815	326.524200
-1128.634979	326.534004
-1128.641174	326.546791
-1128.647980	326.558205
-1128.656158	326.569000
-1128.663818	326.575600
-1128.672821	326.587387
-1128.680847	326.599396
-1128.688751	326.610794
-1128.697174	326.624397
-1128.704407	326.645592
-1128.712982	326.650002
-1128.720184	326.669991
-1128.728394	326.682999
-1128.736816	326.694603
-1128.744446	326.706200
-1128.753571	326.714584
-1128.762787	326.722404
-1128.771637	326.730400
-1128.783386	326.737000
-1128.793365	326.743805
-1128.805023	326.750397
-1128.814972	326.757195
-1128.825378	326.763802
-1128.833588	326.768394
-1128.842804	326.772797
-1128.850616	326.776802
-1128.857819	326.780396
-1128.865997	326.778603
-1128.875031	326.782600
-1128.885193	326.783607
-1128.894989	326.782997
-1128.905426	326.783005
-1128.915771	326.781601
-1128.927185	326.779610
-1128.936371	326.777000
-1128.946564	326.775398
-1128.955994	326.773598
-1128.964417	326.769005
-1128.973022	326.765793
-1128.982635	326.760597
-1128.988770	326.753799
-1128.994995	326.746208
-1129.002014	326.738800
-1129.011383	326.727806
-1129.019012	326.715797
-1129.024567	326.702393
-1129.031586	326.689194
-1129.039398	326.673599
-1129.048828	326.656807
-1129.052185	326.638008
-1129.058624	326.612785
-1129.063995	326.594795
-1129.067413	326.572601
-1129.071808	326.549805
-1129.078186	326.522408
-1129.080017	326.498787
-1129.084839	326.469406
-1129.091827	326.444000
-1129.092194	326.415192
-1129.096405	326.386604
-1129.099579	326.353195
-1129.101227	326.320999
-1129.103394	326.292404
-1129.105194	326.261803
-1129.106842	326.232201
-1129.108032	326.200989
-1129.108978	326.167198
-1129.109222	326.135986
-1129.108795	326.102005
-1129.110016	326.066605
-1129.109406	326.034187
-1129.108429	326.000595
-1129.107819	325.968201
-1129.105621	325.938805
-1129.103180	325.910400
-1129.101807	325.881592
-1129.100616	325.855003
-1129.098633	325.828789
-1129.096802	325.803406
-1129.095795	325.778809
-1129.094543	325.755997
-1129.095581	325.736603
-1129.095215	325.712807
-1129.095581	325.690994
-1129.095795	325.670204
-1129.097595	325.650002
-1129.097382	325.632393
-1129.098175	325.615005
-1129.097992	325.599602
-1129.097595	325.585800
-1129.096985	325.573402
-1129.097351	325.563202
-1129.098785	325.553200
-1129.098999	325.544205
-1129.099213	325.536995
-1129.100769	325.528999
-1129.101807	325.520599
-1129.105774	325.516792
-1129.107208	325.512390
-1129.109222	325.509804
-1129.110626	325.508598
-1129.111603	325.510399
-1129.113434	325.510803
-1129.115814	325.511604
-1129.117798	325.517998
-1129.118988	325.525192
-1129.120392	325.531601
-1129.122192	325.540207
-1129.122589	325.548409
-1129.122803	325.558998
-1129.123596	325.571800
-1129.123199	325.582596
-1129.124207	325.596214
-1129.125000	325.609802
-1129.125977	325.624207
-1129.126556	325.642189
-1129.127380	325.658600
-1129.127411	325.674004
-1129.127411	325.691002
-1129.127838	325.707603
-1129.128174	325.724998
-1129.128967	325.743797
-1129.128784	325.759407
-1129.127197	325.775803
-1129.126190	325.792793
-1129.126373	325.811798
-1129.125793	325.828995
-1129.125427	325.848793
-1129.122986	325.866196
-1129.123413	325.882004
-1129.121796	325.898598
-1129.120392	325.913803
-1129.118561	325.931404
-1129.116577	325.946007
-1129.115021	325.960403
-1129.113586	325.972603
-1129.110016	325.984993
-1129.108398	325.997192
-1129.105438	326.008392
-1129.102203	326.017998
-1129.100616	326.025810
-1129.098236	326.035599
-1129.097229	326.046806
-1129.095184	326.050797
-1129.092377	326.057800
-1129.090179	326.067398
-1129.087036	326.072800
-1129.085632	326.077805
-1129.080994	326.082802
-1129.078613	326.088608
-1129.075836	326.093002
-1129.072388	326.095596
-1129.070190	326.098999
-1129.067596	326.103607
-1129.067200	326.103416
-1129.064789	326.105797
-1129.063995	326.104805
-1129.062592	326.103798
-1129.061615	326.102203
-1129.059998	326.100807
-1129.058990	326.098206
-1129.057373	326.095398
-1129.056000	326.088402
-1129.054565	326.086601
-1129.053375	326.082802
-1129.050018	326.078804
-1129.048615	326.074608
-1129.045807	326.070595
-1129.045013	326.064400
-1129.044373	326.060799
-1129.044220	326.054398
-1129.042999	326.047806
-1129.042786	326.041801
-1129.042633	326.036201
-1129.043213	326.030998
-1129.044403	326.025398
-1129.045807	326.019203
-1129.047821	326.015793
-1129.048645	326.010796
-1129.051605	326.004608
-1129.052979	325.998001
-1129.054199	325.993195
-1129.055389	325.986603
-1129.056793	325.979996
-1129.058990	325.969994
-1129.059174	325.959999
